
Time1,Time2,Moves
0,52032,4
Time1,Time2,Moves
0,130992,15
Time1,Time2,Moves
61616,0,7
Time1,Time2,Moves
34992,0,4
Time1,Time2,Moves
4016,4384,20
Time1,Time2,Moves
7040,6080,41
Time1,Time2,Moves
6416,6704,42
Time1,Time2,Moves
7488,7072,49
Time1,Time2,Moves
6448,6688,44
Time1,Time2,Moves
5872,6192,41
Time1,Time2,Moves
4016,5760,34
Time1,Time2,Moves
4816,4960,38
Time1,Time2,Moves
5680,5872,43
Time1,Time2,Moves
4848,4448,29
Time1,Time2,Moves
4976,6368,40
Time1,Time2,Moves
5808,5312,45
Time1,Time2,Moves
7104,7936,81
Time1,Time2,Moves
4544,4240,29
Time1,Time2,Moves
4848,4816,32
Time1,Time2,Moves
2432,2208,13
Time1,Time2,Moves
5856,6192,46
Time1,Time2,Moves
4272,4144,27
Time1,Time2,Moves
3616,4080,26
Time1,Time2,Moves
7040,6544,53
Time1,Time2,Moves
5088,4528,32
Time1,Time2,Moves
5248,4224,35
Time1,Time2,Moves
5952,5104,44
Time1,Time2,Moves
5408,4032,38
Time1,Time2,Moves
3808,4416,26
Time1,Time2,Moves
4080,4144,23
Time1,Time2,Moves
3104,3376,16
Time1,Time2,Moves
4864,4720,39
Time1,Time2,Moves
3680,3536,30
Time1,Time2,Moves
3888,4144,32
Time1,Time2,Moves
3600,3920,33
Time1,Time2,Moves
3744,4000,30
Time1,Time2,Moves
2656,3312,22
Time1,Time2,Moves
3248,2640,21
Time1,Time2,Moves
4912,3792,37
Time1,Time2,Moves
4336,3472,31
Time1,Time2,Moves
4144,4496,38
Time1,Time2,Moves
4256,3504,35
Time1,Time2,Moves
3344,3792,29
Time1,Time2,Moves
2944,2560,19
Time1,Time2,Moves
3760,3904,36
Time1,Time2,Moves
4512,4256,33
Time1,Time2,Moves
3968,4416,30
Time1,Time2,Moves
3968,3312,31
Time1,Time2,Moves
4016,3632,34
Time1,Time2,Moves
4688,5552,56
Time1,Time2,Moves
3216,3776,28
Time1,Time2,Moves
3200,3808,27
Time1,Time2,Moves
4736,5024,45
Time1,Time2,Moves
4032,4320,32
Time1,Time2,Moves
3520,3600,30
Time1,Time2,Moves
5120,3360,49
Time1,Time2,Moves
2896,3376,25
Time1,Time2,Moves
3456,3744,29
Time1,Time2,Moves
3504,3696,32
Time1,Time2,Moves
2448,2480,17
Time1,Time2,Moves
6400,5840,81
Time1,Time2,Moves
3424,3184,25
Time1,Time2,Moves
4624,4352,46
Time1,Time2,Moves
3296,2736,23
Time1,Time2,Moves
3504,3152,28
Time1,Time2,Moves
3920,5024,47
Time1,Time2,Moves
4224,3584,30
Time1,Time2,Moves
4112,4080,33
Time1,Time2,Moves
5216,6064,52
Time1,Time2,Moves
3296,2640,23
Time1,Time2,Moves
3616,3856,32
Time1,Time2,Moves
6400,5904,81
Time1,Time2,Moves
5056,3616,42
Time1,Time2,Moves
2720,2400,19
Time1,Time2,Moves
1424,1632,12
Time1,Time2,Moves
5744,5056,48
Time1,Time2,Moves
2912,3280,24
Time1,Time2,Moves
1952,2032,15
Time1,Time2,Moves
3248,4176,28
Time1,Time2,Moves
4720,4896,51
Time1,Time2,Moves
3504,3936,31
Time1,Time2,Moves
2560,2304,17
Time1,Time2,Moves
4800,5216,49
Time1,Time2,Moves
2688,2560,15
Time1,Time2,Moves
2656,4480,29
Time1,Time2,Moves
3520,3200,27
Time1,Time2,Moves
3280,3888,27
Time1,Time2,Moves
5056,4176,49
Time1,Time2,Moves
2944,3264,25
Time1,Time2,Moves
4016,3120,31
Time1,Time2,Moves
5568,6080,64
Time1,Time2,Moves
3552,3120,23
Time1,Time2,Moves
5088,6272,66
Time1,Time2,Moves
4864,3168,39
Time1,Time2,Moves
4832,4480,50
Time1,Time2,Moves
3008,2752,23
Time1,Time2,Moves
3520,3408,32
Time1,Time2,Moves
5280,4944,45
Time1,Time2,Moves
3984,4784,38
Time1,Time2,Moves
3712,4176,31
Time1,Time2,Moves
4464,4400,44
Time1,Time2,Moves
5408,4720,54
Time1,Time2,Moves
4512,4304,46
Time1,Time2,Moves
3488,4304,29
Time1,Time2,Moves
3488,4176,26
Time1,Time2,Moves
4720,4752,49
Time1,Time2,Moves
2960,3264,23
Time1,Time2,Moves
4928,5360,60
Time1,Time2,Moves
3216,3088,25
Time1,Time2,Moves
4064,3184,32
Time1,Time2,Moves
4784,3824,37
Time1,Time2,Moves
6240,5792,63
Time1,Time2,Moves
3392,3712,30
Time1,Time2,Moves
4000,3520,29
Time1,Time2,Moves
2144,2432,16
Time1,Time2,Moves
3200,2336,25
Time1,Time2,Moves
4656,6064,58
Time1,Time2,Moves
4352,4496,40
Time1,Time2,Moves
5056,6384,61
Time1,Time2,Moves
4416,4960,51
Time1,Time2,Moves
3024,2912,22
Time1,Time2,Moves
5408,3984,48
Time1,Time2,Moves
5328,5488,81
Time1,Time2,Moves
6128,5184,81
Time1,Time2,Moves
2608,2720,18
Time1,Time2,Moves
4880,4304,41
Time1,Time2,Moves
4256,5024,44
Time1,Time2,Moves
6208,4496,81
Time1,Time2,Moves
3328,3824,28
Time1,Time2,Moves
4160,3712,25
Time1,Time2,Moves
4672,4640,43
Time1,Time2,Moves
4720,3328,29
Time1,Time2,Moves
3760,3504,30
Time1,Time2,Moves
3312,3168,25
Time1,Time2,Moves
3760,4400,35
Time1,Time2,Moves
3568,3504,29
Time1,Time2,Moves
5552,5248,81
Time1,Time2,Moves
3856,3152,29
Time1,Time2,Moves
5856,5792,58
Time1,Time2,Moves
3808,3520,27
Time1,Time2,Moves
4816,4480,46
Time1,Time2,Moves
2784,2816,19
Time1,Time2,Moves
2992,4064,24
Time1,Time2,Moves
3776,4736,37
Time1,Time2,Moves
3488,4496,32
Time1,Time2,Moves
4704,3232,33
Time1,Time2,Moves
5120,4704,44
Time1,Time2,Moves
1600,1680,13
Time1,Time2,Moves
3408,3600,26
Time1,Time2,Moves
3792,3664,37
Time1,Time2,Moves
3264,3200,26
Time1,Time2,Moves
2784,2656,21
Time1,Time2,Moves
4432,4528,46
Time1,Time2,Moves
5024,5152,43
Time1,Time2,Moves
4720,4960,40
Time1,Time2,Moves
4400,5184,43
Time1,Time2,Moves
4832,4512,46
Time1,Time2,Moves
3040,3264,24
Time1,Time2,Moves
4224,4160,34
Time1,Time2,Moves
4288,5536,47
Time1,Time2,Moves
5632,5280,53
Time1,Time2,Moves
5488,5040,59
Time1,Time2,Moves
1920,2016,14
Time1,Time2,Moves
3872,4544,39
Time1,Time2,Moves
5424,4288,56
Time1,Time2,Moves
2576,2688,19
Time1,Time2,Moves
4736,4704,47
Time1,Time2,Moves
5072,4832,46
Time1,Time2,Moves
3040,3072,26
Time1,Time2,Moves
3168,2960,25
Time1,Time2,Moves
2736,3248,22
Time1,Time2,Moves
5472,5552,81
Time1,Time2,Moves
3600,3824,32
Time1,Time2,Moves
7232,5328,81
Time1,Time2,Moves
4688,4400,36
Time1,Time2,Moves
2848,2624,19
Time1,Time2,Moves
5424,4400,56
Time1,Time2,Moves
3488,3536,29
Time1,Time2,Moves
2736,2352,20
Time1,Time2,Moves
3536,3504,28
Time1,Time2,Moves
3968,4112,32
Time1,Time2,Moves
5344,6176,50
Time1,Time2,Moves
2592,2608,14
Time1,Time2,Moves
3776,2992,23
Time1,Time2,Moves
3584,4176,30
Time1,Time2,Moves
2768,2464,15
Time1,Time2,Moves
4688,5408,40
Time1,Time2,Moves
4448,3280,27
Time1,Time2,Moves
3760,4304,26
Time1,Time2,Moves
3440,3408,19
Time1,Time2,Moves
5488,5600,39
Time1,Time2,Moves
5904,5104,41
Time1,Time2,Moves
4752,5792,36
Time1,Time2,Moves
4544,3728,29
Time1,Time2,Moves
6640,7344,63
Time1,Time2,Moves
3488,2752,19
Time1,Time2,Moves
4928,5168,36
Time1,Time2,Moves
5248,5040,37
Time1,Time2,Moves
6000,5968,51
Time1,Time2,Moves
4848,4480,31
Time1,Time2,Moves
3424,3488,22
Time1,Time2,Moves
5728,7280,56
Time1,Time2,Moves
4272,4560,26
Time1,Time2,Moves
7152,4576,55
