
Time1,Time2,Moves
5024,7024,29
Time1,Time2,Moves
4928,5200,24
Time1,Time2,Moves
5888,5472,26
Time1,Time2,Moves
5536,4704,23
Time1,Time2,Moves
4544,3488,21
Time1,Time2,Moves
4736,5184,25
Time1,Time2,Moves
4224,4608,21
Time1,Time2,Moves
3776,3328,18
Time1,Time2,Moves
4512,4864,27
Time1,Time2,Moves
4944,4352,26
Time1,Time2,Moves
4304,4544,24
Time1,Time2,Moves
6256,4640,32
Time1,Time2,Moves
5600,5184,29
Time1,Time2,Moves
6416,5648,31
Time1,Time2,Moves
5296,5872,29
Time1,Time2,Moves
2.099954E+09,2.974952E+09,29
Time1,Time2,Moves
2.100119E+09,1.925113E+09,23
Time1,Time2,Moves
5104,6288,27
Time1,Time2,Moves
4736,3584,19
Time1,Time2,Moves
5632,6928,33
Time1,Time2,Moves
4976,4784,25
Time1,Time2,Moves
6192,8032,38
Time1,Time2,Moves
7600,6592,36
Time1,Time2,Moves
8848,6800,60
Time1,Time2,Moves
5088,4064,22
Time1,Time2,Moves
5936,4928,37
Time1,Time2,Moves
6832,6976,67
Time1,Time2,Moves
5104,5536,33
Time1,Time2,Moves
5744,4736,37
Time1,Time2,Moves
3568,3920,23
Time1,Time2,Moves
4048,3104,23
Time1,Time2,Moves
4336,5216,32
Time1,Time2,Moves
5312,4816,35
Time1,Time2,Moves
5952,6144,40
Time1,Time2,Moves
4224,3776,26
Time1,Time2,Moves
4192,4512,28
Time1,Time2,Moves
4272,3968,26
Time1,Time2,Moves
3936,4320,26
Time1,Time2,Moves
4752,4384,31
Time1,Time2,Moves
5248,5504,34
Time1,Time2,Moves
5040,4688,33
Time1,Time2,Moves
5120,5472,43
Time1,Time2,Moves
3888,4096,26
Time1,Time2,Moves
4192,4176,27
Time1,Time2,Moves
4672,4704,29
Time1,Time2,Moves
5168,4864,30
Time1,Time2,Moves
5280,4624,33
Time1,Time2,Moves
4160,5616,34
Time1,Time2,Moves
5408,5232,41
Time1,Time2,Moves
3072,3888,22
Time1,Time2,Moves
6176,5904,64
Time1,Time2,Moves
6816,6896,63
Time1,Time2,Moves
6720,6208,43
Time1,Time2,Moves
17264,0,3
Time1,Time2,Moves
33744,0,6
Time1,Time2,Moves
27024,0,3
Time1,Time2,Moves
26064,0,3
Time1,Time2,Moves
61552,0,8
Time1,Time2,Moves
32080,0,3
Time1,Time2,Moves
66544,0,7
