1,544
2,496
3,512
4,496
5,496
6,464
7,512
8,464
9,496
10,448
11,480
12,432
13,464
14,400
15,448
16,416
17,432
18,400
19,0
20,0
1,464
2,544
3,496
4,512
5,496
6,496
7,480
8,512
9,432
10,464
11,0
12,480
13,464
14,464
15,400
16,0
17,416
18,416
19,400
20,0
21,400
22,416
23,368
24,384
25,352
26,384
27,352
28,368
29,0
30,336
31,336
32,304
33,320
34,0
35,288
36,0
37,304
38,0
39,272
40,0
41,0
1,512
2,480
3,544
4,464
5,512
6,400
7,432
8,400
9,400
10,432
11,416
12,432
13,480
14,416
15,432
16,400
17,384
18,0
19,416
20,368
21,368
22,368
23,0
24,368
25,368
26,368
27,416
28,336
29,0
30,336
31,0
32,320
33,352
34,0
35,352
36,0
37,320
38,288
39,0
40,240
41,0
42,0
1,496
2,528
3,480
4,528
5,496
6,512
7,464
8,496
9,464
10,512
11,432
12,480
13,432
14,480
15,400
16,0
17,384
18,448
19,384
20,0
21,368
22,432
23,384
24,0
25,352
26,400
27,0
28,368
29,352
30,368
31,0
32,336
33,0
34,352
35,304
36,0
37,288
38,0
39,288
40,288
41,272
42,288
43,0
44,256
45,208
46,0
47,240
48,0
49,0
1,544
2,496
3,512
4,480
5,544
6,480
7,512
8,464
9,512
10,464
11,480
12,432
13,496
14,416
15,448
16,416
17,448
18,352
19,432
20,400
21,0
22,368
23,0
24,368
25,0
26,352
27,352
28,0
29,384
30,0
31,352
32,0
33,320
34,0
35,352
36,240
37,0
38,240
39,0
40,256
41,0
42,224
43,0
44,0
1,464
2,464
3,432
4,544
5,432
6,384
7,496
8,448
9,432
10,448
11,448
12,496
13,432
14,480
15,400
16,432
17,368
18,432
19,320
20,0
21,272
22,0
23,336
24,336
25,0
26,320
27,336
28,304
29,0
30,0
31,256
32,336
33,0
34,256
35,0
36,288
37,224
38,224
39,224
40,0
41,0
1,432
2,448
3,432
4,352
5,368
6,464
7,368
8,400
9,448
10,352
11,352
12,432
13,384
14,384
15,336
16,320
17,384
18,0
19,320
20,320
21,368
22,0
23,288
24,0
25,336
26,288
27,288
28,0
29,304
30,0
31,352
32,256
33,0
34,0
1,416
2,480
3,288
4,400
5,448
6,464
7,432
8,400
9,368
10,448
11,400
12,352
13,400
14,352
15,256
16,384
17,352
18,0
19,320
20,368
21,0
22,400
23,272
24,272
25,0
26,336
27,0
28,0
29,288
30,0
31,288
32,0
33,288
34,0
35,0
36,304
37,0
38,0
1,416
2,368
3,480
4,368
5,464
6,384
7,464
8,384
9,480
10,384
11,464
12,368
13,432
14,384
15,352
16,336
17,352
18,320
19,0
20,240
21,384
22,336
23,0
24,320
25,256
26,320
27,0
28,320
29,0
30,272
31,240
32,288
33,288
34,0
35,288
36,0
37,304
38,288
39,0
40,0
41,208
42,0
43,0
1,464
2,464
3,352
4,416
5,432
6,400
7,416
8,464
9,368
10,480
11,384
12,400
13,384
14,416
15,320
16,0
17,336
18,400
19,240
20,352
21,368
22,0
23,256
24,288
25,240
26,368
27,288
28,0
29,0
1,464
2,432
3,448
4,416
5,416
6,368
7,384
8,448
9,416
10,400
11,448
12,368
13,416
14,352
15,320
16,400
17,384
18,240
19,384
20,0
21,368
22,320
23,304
24,0
25,368
26,288
27,0
28,272
29,352
30,0
31,288
32,272
33,0
34,224
35,288
36,0
37,320
38,176
39,0
40,0
1,416
2,464
3,416
4,448
5,352
6,416
7,432
8,400
9,272
10,448
11,352
12,352
13,384
14,400
15,320
16,0
17,384
18,336
19,336
20,0
21,320
22,352
23,0
24,352
25,304
26,16
27,336
28,0
29,256
30,288
31,0
32,0
33,0
34,288
35,0
36,288
37,240
38,0
39,208
40,240
41,256
42,224
43,224
44,0
45,0
1,480
2,448
3,368
4,400
5,416
6,288
7,496
8,416
9,416
10,432
11,368
12,336
13,464
14,352
15,304
16,384
17,352
18,352
19,304
20,0
21,368
22,288
23,320
24,352
25,0
26,320
27,0
28,336
29,0
30,256
31,320
32,0
33,272
34,192
35,272
36,272
37,240
38,224
39,304
40,0
41,272
42,0
43,304
44,128
45,0
46,224
47,0
48,160
49,192
50,144
51,208
52,0
53,160
54,128
55,144
56,144
57,128
58,0
59,144
60,112
61,0
62,0
63,64
64,96
65,0
66,80
67,0
68,64
69,64
70,80
71,48
72,48
73,64
74,16
75,32
76,16
77,32
78,16
79,16
80,0
81,0
1,416
2,416
3,432
4,496
5,432
6,416
7,432
8,464
9,368
10,464
11,352
12,384
13,416
14,0
15,368
16,304
17,384
18,384
19,288
20,0
21,352
22,304
23,0
24,240
25,0
26,368
27,304
28,0
29,0
1,448
2,432
3,464
4,384
5,480
6,432
7,448
8,416
9,320
10,384
11,368
12,400
13,368
14,400
15,0
16,336
17,304
18,384
19,384
20,368
21,336
22,0
23,256
24,320
25,0
26,272
27,400
28,0
29,240
30,320
31,0
32,0
1,448
2,352
3,432
4,480
5,368
6,432
7,384
8,480
9,400
10,464
11,400
12,0
13,0
1,496
2,448
3,512
4,432
5,512
6,464
7,496
8,448
9,432
10,368
11,448
12,320
13,416
14,384
15,400
16,0
17,368
18,272
19,336
20,320
21,0
22,304
23,368
24,304
25,0
26,320
27,0
28,208
29,0
30,304
31,0
32,240
33,320
34,0
35,304
36,224
37,0
